ProductId,SKU,Name,Brand,Category,Description,Price,SalePrice,Currency,Weight,WeightUnit,InStock,StockQuantity,Rating,ReviewCount,Color,Condition,Tags,ImageUrl,DateAdded
1,SKU-0001-841,Wireless Noise-Cancelling Headphones,CoreBliss,Electronics,"Immersive audio with adaptive noise cancellation and 30-hour battery life. Features Bluetooth 5.3, multipoint connection, and a foldable design for portability.",109.57,86.98,USD,14.97,kg,TRUE,444,4.7,1435,White,Open Box,new-arrival;premium,https://cdn.example.com/products/sku-0001-841.jpg,2025-07-09
2,SKU-0002-126,Smart LED Desk Lamp,VoltAge,Home & Garden,"Adjustable color temperature desk lamp with touch controls, USB charging port, and five brightness levels. Energy-efficient LED with 50,000-hour lifespan.",123.72,,USD,6.04,kg,TRUE,390,4.1,921,White,Open Box,clearance;staff-pick,https://cdn.example.com/products/sku-0002-126.jpg,2025-07-22
3,SKU-0003-794,Carbon Fiber Running Shoes,TrueNorth,Sports & Outdoors,Lightweight performance running shoes with carbon fiber plate for energy return. Breathable mesh upper and responsive cushioning for race day.,52.98,,USD,6.66,kg,FALSE,0,3.4,1217,Sand,New,gift-idea;new-arrival,https://cdn.example.com/products/sku-0003-794.jpg,2025-01-02
4,SKU-0004-969,Stainless Steel French Press,EcoVibe,Kitchen,Double-wall insulated French press brews 34oz of rich coffee. Made from 18/10 stainless steel with a precision 4-level filtration system.,246.61,,USD,3.47,kg,FALSE,0,4.7,191,Black,Open Box,budget,https://cdn.example.com/products/sku-0004-969.jpg,2025-09-16
5,SKU-0005-109,Organic Face Serum,SkyBound,Health & Beauty,"Hydrating face serum with hyaluronic acid, vitamin C, and rosehip oil. Dermatologist tested, suitable for all skin types. 30ml dropper bottle.",20.53,,USD,6.28,kg,FALSE,0,3.9,199,Silver,New,clearance;trending;new-arrival;budget,https://cdn.example.com/products/sku-0005-109.jpg,2025-09-28
6,SKU-0006-658,Magnetic Building Blocks Set,PeakLine,Toys & Games,"150-piece magnetic construction set with tiles, wheels, and connectors. STEM-approved educational toy for ages 3 and up. BPA-free materials.",211.02,185.06,USD,10.71,kg,FALSE,0,3.4,1378,Sand,Open Box,staff-pick;clearance,https://cdn.example.com/products/sku-0006-658.jpg,2025-02-04
7,SKU-0007-377,Portable Jump Starter,PeakLine,Automotive,2000A peak car jump starter with built-in air compressor. Powers vehicles up to 8.0L gas engines. Includes USB-C PD charging and LED flashlight.,282.56,256.01,USD,6.96,kg,FALSE,0,4.6,2269,Black,Refurbished,premium;new-arrival;eco-friendly;limited-edition,https://cdn.example.com/products/sku-0007-377.jpg,2025-01-03
8,SKU-0008-585,Ergonomic Mesh Office Chair,SkyBound,Office Supplies,"Adjustable lumbar support office chair with breathable mesh back, 4D armrests, and tilt lock. Supports up to 300 lbs with a 5-year warranty.",61.08,,USD,11.03,kg,TRUE,458,4.0,1172,Pearl,Refurbished,staff-pick;eco-friendly;new-arrival,https://cdn.example.com/products/sku-0008-585.jpg,2025-11-17
9,SKU-0009-245,Automatic Pet Feeder,UrbanEdge,Pet Supplies,"WiFi-enabled pet feeder with programmable meal schedule, portion control, and voice recording. Holds up to 6L of dry food. App-controlled.",79.77,64.58,USD,1.21,kg,FALSE,0,4.9,1835,Silver,Refurbished,bestseller;premium;trending;new-arrival,https://cdn.example.com/products/sku-0009-245.jpg,2025-12-15
10,SKU-0010-393,Merino Wool Base Layer,CoreBliss,Clothing,Ultra-soft 100% merino wool thermal top with flatlock seams. Naturally odor-resistant and moisture-wicking. Perfect for layering in cold weather.,60.06,,USD,6.41,kg,FALSE,0,3.6,534,Midnight Blue,Open Box,limited-edition;new-arrival;gift-idea,https://cdn.example.com/products/sku-0010-393.jpg,2025-09-09
